0		50	-139  3598 1519	0.57453
1		53	189  1472 1705	1
2		124	187  1681 1606	1
3		145	-149  1196 1656	0.934743
4		195	-142  1374 1218	0.999587
5		296	154  1694 1725	0.994617
6		307	184  1694 1725	1
7		381	-145  1681 1606	0.561584
8		474	141  1214 1707	0.998236
9		522	-144  1386 1646	1
10		546	152  1804 1568	1
11		625	159  2929 1841	1
12		643	159  1409 1547	1
13		651	150  2734 1752	1
14		684	-151  1323 1337	0.97142
15		724	-149  2929 1841	1
16		764	-160  3495 745	1
17		786	-155  3312 531	0.714334
18		798	-155  3299 546	0.999798
19		823	-160  3260 536	1
20		848	-151  3297 544	0.996904
21		850	-169  3318 522	0.999889
22		907	158  3277 503	0.996638
23		912	-197  3282 501	1
23		913	209  3282 501	1
24		927	-173  3284 497	1
25		930	155  3286 496	0.894066
26		960	-200  3291 489	1
27		963	151  3272 495	0.916483
28		977	175  3272 471	1
29		1016	162  1681 1606	0.986551
30		1035	180  1681 1606	1
30		1036	-154  3296 466	0.994598
31		1052	-156  3261 484	0.862947
32		1074	-172  2816 1804	1
33		1101	155  3275 493	0.664386
34		1109	-168  3248 462	1
34		1110	-152  3261 484	0.999998
35		1138	-154  3245 458	1
36		1159	161  3237 462	0.996626
37		1164	-146  3235 464	0.781686
38		1177	-144  3226 489	0.925664
39		1184	173  1681 1606	1
40		1198	193  1681 1606	1
41		1200	-158  1329 1299	0.999991
42		1210	152  3219 494	0.974787
43		1230	-146  3240 500	0.693776
44		1232	-141  3259 470	0.556799
45		1252	-186  3263 479	0.949837
46		1258	157  3254 500	0.919657
47		1287	192  3261 485	1
48		1299	155  3238 492	0.996477
49		1301	-150  3249 464	0.57103
50		1314	244  3262 481	1
51		1326	146  3264 499	0.842876
52		1330	161  1681 1606	1
53		1339	-163  2849 1833	1
54		1349	-149  3247 459	0.987966
54		1350	146  3281 472	0.742908
55		1355	-154  3240 457	0.987966
56		1376	-153  3241 457	0.999953
57		1393	171  1440 1715	1
58		1400	-157  2920 1812	1
59		1413	143  3268 470	0.795051
60		1422	-165  3239 456	1
61		1426	181  1681 1606	1
61		1427	-164  1681 1606	1
62		1440	-168  1681 1606	1
63		1470	-149  3219 480	0.885423
64		1485	143  3247 491	0.999198
65		1499	-157  3255 470	0.963568
66		1522	-204  2835 1796	1
67		1544	-155  3243 491	0.998686
68		1575	181  1681 1606	1
69		1606	211  3230 455	1
70		1608	-168  3223 478	1
71		1615	-159  3224 455	0.999623
72		1637	159  3249 461	0.999905
73		1675	162  1681 1606	0.845286
74		1677	-150  2972 1854	1
75		1709	154  3237 493	0.710153
76		1711	-164  2925 1712	0.999198
77		1715	-160  2878 1760	0.999996
78		1726	-157  3217 457	0.992731
79		1736	-144  3236 492	0.867994
80		1777	-168  3205 476	0.997159
81		1790	220  2872 1836	1
82		1792	-167  3229 481	1
83		1796	-153  3223 474	0.98982
84		1798	146  3239 456	0.925664
84		1799	-185  2872 1836	1
85		1824	-170  3201 446	0.951951
86		1828	156  1299 1434	0.958905
87		1847	-158  3188 439	0.999988
88		1876	141  3205 449	0.999634
89		1885	155  3207 469	0.998864
90		1904	-149  3216 446	0.999997
91		1908	-162  3217 448	0.977621
92		1923	159  3263 444	0.992756
93		1936	-167  3218 437	0.995951
94		1940	143  3223 391	0.883598
95		2001	-158  1936 118	0.671951
96		2016	-176  1483 64	1
97		2034	-174  1077 42	0.998774
98		2036	-174  1026 40	0.995878
99		2045	173  883 71	0.978811
100		2052	192  1409 1547	1
101		2058	-167  753 89	0.872868
102		2067	179  1681 1606	0.999997
103		2069	-179  1681 1606	1
104		2077	-175  744 104	0.999993
105		2126	-163  726 126	0.994303
106		2138	-164  758 130	0.802352
107		2187	206  718 139	1
108		2205	-201  715 145	1
109		2227	166  731 159	0.671951
109		2228	160  732 157	0.527216
109		2229	215  1732 1740	1
110		2242	-171  731 141	0.872868
111		2252	-197  754 116	1
112		2259	-168  757 113	0.628484
113		2286	161  635 144	0.922966
114		2308	158  399 187	0.675679
114		2309	171  1681 1606	0.999939
115		2311	-175  369 203	0.992958
116		2326	184  1681 1606	1
117		2333	-155  1460 1373	1
118		2345	149  2817 1804	1
119		2435	173  468 1224	1
120		2565	-159  2817 1804	1
121		2608	159  1247 1537	1
122		2630	138  1431 1568	0.796899
123		2678	137  805 1465	1
124		2682	-195  1732 1740	1
125		2687	-209  1732 1740	1
126		2695	-167  2653 1791	1
127		2743	166  2681 1780	0.994617
128		2747	-152  2681 1780	1
129		2864	-141  1408 1745	0.648809
130		2868	-151  1732 1740	0.998019
131		2879	136  1462 1703	0
